doc_id,username,acteur_type,orientation_politique,orientation_politique_macro,create_time,topic_rerun,topic_june,statut,famille,cadrage,cadrage_id
140,lhumanitefr,media,Media-Gauche,Media-Gauche,1771257282,11,11.0,garder,Cadre interprétatif,L'affrontement Panot–Lecornu à l'Assemblée : instrumentalisation dénoncée et renversement de l'accusation par LFI,4
141,lhumanitefr,media,Media-Gauche,Media-Gauche,1775469621,10,12.0,garder,Fil factuel,Collectif Némésis : révélations sur le groupuscule et demande de dissolution,13
142,lhumanitefr,media,Media-Gauche,Media-Gauche,1773670616,-1,-1.0,outlier,,,
143,lhumanitefr,media,Media-Gauche,Media-Gauche,1773496812,18,19.0,exclu,,,
144,lemediatv,media,Media-Gauche,Media-Gauche,1773136800,24,23.0,garder,Cadre interprétatif,Révélations Mediapart sur le passé néonazi de Quentin Deranque et déconstruction de la figure du martyr,7
145,lemediatv,media,Media-Gauche,Media-Gauche,1773087915,18,19.0,exclu,,,
146,lemediatv,media,Media-Gauche,Media-Gauche,1772928402,18,19.0,exclu,,,
147,lemediatv,media,Media-Gauche,Media-Gauche,1772895600,2,3.0,garder,Cadre interprétatif,La revendication antifasciste de la gauche radicale et sa mise en cause par l'extrême droite,1
148,lemediatv,media,Media-Gauche,Media-Gauche,1772733269,0,0.0,garder,Fil factuel,Récit et reconstitution des faits,9
149,lemediatv,media,Media-Gauche,Media-Gauche,1772377200,15,16.0,garder,Fil factuel,"Lyon, épicentre historique de l'affrontement extrême droite / antifascistes",15
150,lemediatv,media,Media-Gauche,Media-Gauche,1772290800,15,16.0,garder,Fil factuel,"Lyon, épicentre historique de l'affrontement extrême droite / antifascistes",15
151,lemediatv,media,Media-Gauche,Media-Gauche,1772021725,19,2.0,garder,Fil factuel,Marche d'hommage à Quentin Deranque et controverse des slogans et symboles nazis,11
152,lemediatv,media,Media-Gauche,Media-Gauche,1771959116,10,12.0,garder,Fil factuel,Collectif Némésis : révélations sur le groupuscule et demande de dissolution,13
153,lemediatv,media,Media-Gauche,Media-Gauche,1771870985,-1,-1.0,outlier,,,
154,lemediatv,media,Media-Gauche,Media-Gauche,1771779600,-1,-1.0,outlier,,,
155,lemediatv,media,Media-Gauche,Media-Gauche,1771617600,7,4.0,garder,Cadre interprétatif,« L'extrême gauche tue » : responsabilité de l'« ultra-gauche » et complaisance de LFI,3
156,lemediatv,media,Media-Gauche,Media-Gauche,1771593580,10,12.0,garder,Fil factuel,Collectif Némésis : révélations sur le groupuscule et demande de dissolution,13
157,lemediatv,media,Media-Gauche,Media-Gauche,1771503014,24,23.0,garder,Cadre interprétatif,Révélations Mediapart sur le passé néonazi de Quentin Deranque et déconstruction de la figure du martyr,7
158,lemediatv,media,Media-Gauche,Media-Gauche,1771439120,0,0.0,garder,Fil factuel,Récit et reconstitution des faits,9
159,lemediatv,media,Media-Gauche,Media-Gauche,1771352802,-1,-1.0,outlier,,,
160,lemediatv,media,Media-Gauche,Media-Gauche,1771344658,11,11.0,garder,Cadre interprétatif,L'affrontement Panot–Lecornu à l'Assemblée : instrumentalisation dénoncée et renversement de l'accusation par LFI,4
161,lemediatv,media,Media-Gauche,Media-Gauche,1774466100,0,0.0,garder,Fil factuel,Récit et reconstitution des faits,9
162,lemediatv,media,Media-Gauche,Media-Gauche,1776502800,2,3.0,garder,Cadre interprétatif,La revendication antifasciste de la gauche radicale et sa mise en cause par l'extrême droite,1
163,lemediatv,media,Media-Gauche,Media-Gauche,1775898000,-1,-1.0,outlier,,,
164,mediapartfr,media,Media-Gauche,Media-Gauche,1774093807,12,14.0,garder,Fil factuel,La Jeune Garde : présentation du groupuscule et sa dissolution,14
165,mediapartfr,media,Media-Gauche,Media-Gauche,1773403115,24,23.0,garder,Cadre interprétatif,Révélations Mediapart sur le passé néonazi de Quentin Deranque et déconstruction de la figure du martyr,7
166,blast_officiel,media,Media-Gauche,Media-Gauche,1771948551,19,2.0,garder,Fil factuel,Marche d'hommage à Quentin Deranque et controverse des slogans et symboles nazis,11
167,blast_officiel,media,Media-Gauche,Media-Gauche,1771936662,4,7.0,garder,Cadre interprétatif,Les liens LFI–Jeune Garde et la contre-offensive de Mélenchon,2
168,blast_officiel,media,Media-Gauche,Media-Gauche,1774006221,-1,-1.0,outlier,,,
169,blast_officiel,media,Media-Gauche,Media-Gauche,1773820800,-1,-1.0,outlier,,,
170,blast_officiel,media,Media-Gauche,Media-Gauche,1773757118,5,6.0,exclu,,,
171,blast_officiel,media,Media-Gauche,Media-Gauche,1773241082,-1,-1.0,outlier,,,
172,blast_officiel,media,Media-Gauche,Media-Gauche,1776076600,-1,-1.0,outlier,,,
173,blast_officiel,media,Media-Gauche,Media-Gauche,1775998088,20,20.0,garder,Cadre interprétatif,La bataille du récit médiatique : emprise des médias Bolloré et critiques de LFI à l'égard des médias,6
174,quotidienofficiel,media,Media-Gauche,Media-Gauche,1772190000,3,,exclu,,,
175,quotidienofficiel,media,Media-Gauche,Media-Gauche,1771948800,3,,exclu,,,
176,quotidienofficiel,media,Media-Gauche,Media-Gauche,1771584798,6,5.0,garder,Fil factuel,"Raphaël Arnault : silence, retour dans le débat public et appels à la démission",12
177,quotidienofficiel,media,Media-Gauche,Media-Gauche,1771507185,9,13.0,garder,Fil factuel,Déroulement de l'enquête judiciaire,10
178,quotidienofficiel,media,Media-Gauche,Media-Gauche,1771441200,4,7.0,garder,Cadre interprétatif,Les liens LFI–Jeune Garde et la contre-offensive de Mélenchon,2
179,quotidienofficiel,media,Media-Gauche,Media-Gauche,1771431900,12,14.0,garder,Fil factuel,La Jeune Garde : présentation du groupuscule et sa dissolution,14
180,quotidienofficiel,media,Media-Gauche,Media-Gauche,1771430100,6,5.0,garder,Fil factuel,"Raphaël Arnault : silence, retour dans le débat public et appels à la démission",12
181,quotidienofficiel,media,Media-Gauche,Media-Gauche,1771427100,11,11.0,garder,Cadre interprétatif,L'affrontement Panot–Lecornu à l'Assemblée : instrumentalisation dénoncée et renversement de l'accusation par LFI,4
182,quotidienofficiel,media,Media-Gauche,Media-Gauche,1771341418,0,0.0,garder,Fil factuel,Récit et reconstitution des faits,9
183,quotidienofficiel,media,Media-Gauche,Media-Gauche,1774982984,6,5.0,garder,Fil factuel,"Raphaël Arnault : silence, retour dans le débat public et appels à la démission",12
184,quotidienofficiel,media,Media-Gauche,Media-Gauche,1774556700,6,5.0,garder,Fil factuel,"Raphaël Arnault : silence, retour dans le débat public et appels à la démission",12
185,quotidienofficiel,media,Media-Gauche,Media-Gauche,1774287000,3,,exclu,,,
186,quotidienofficiel,media,Media-Gauche,Media-Gauche,1773334800,16,17.0,exclu,,,
187,quotidienofficiel,media,Media-Gauche,Media-Gauche,1776092400,-1,-1.0,outlier,,,
188,quotidienofficiel,media,Media-Gauche,Media-Gauche,1776070644,10,12.0,garder,Fil factuel,Collectif Némésis : révélations sur le groupuscule et demande de dissolution,13
189,20minutesfrance,media,Media-Centre,Media-Centre,1771959888,12,14.0,garder,Fil factuel,La Jeune Garde : présentation du groupuscule et sa dissolution,14
190,20minutesfrance,media,Media-Centre,Media-Centre,1771945200,-1,-1.0,outlier,,,
191,20minutesfrance,media,Media-Centre,Media-Centre,1771527600,8,8.0,garder,Fil factuel,Déroulement de l'enquête judiciaire,10
192,20minutesfrance,media,Media-Centre,Media-Centre,1771520201,-1,-1.0,outlier,,,
193,20minutesfrance,media,Media-Centre,Media-Centre,1771441200,21,22.0,exclu,,,
