topic_id,n_docs,mots_cles_corriges,top_orientation,decision,cadrage_label,cadrage_id,famille,fusionner_avec,notes,test_cadre_Entman
10,23,"ha, ha ha, promets, film, saison, mathieu, ai, série, sylvie, humour",Media-Centre,exclure,,,,,Bruit / hors sujet : contenu culturel et humoristique (Euphoria sketchs cinéma) ; faux positif sur Quentin,
11,28,"ménage, ménage vos, madame présidente, assassinat, présidente, vos, madame, présidente panneau, 12 personnes, ignoble",Media-Centre,garder,L'affrontement Panot–Lecornu à l'Assemblée : instrumentalisation dénoncée et renversement de l'accusation par LFI,4,Cadre interprétatif,,"Contre-cadre apparenté à T21 et T7 ; fusion écartée, conservé distinct (granularité)","Problème (instrumentalisation), cause (accusation renversée), jugement (« ignoble »). PASSE mais épisodique (instance du contre-cadrage T21/T7)"
12,22,"nemesis, dissolution, collectif, humanité, némésis, échappe, nicolas, intérieur, ministre intérieur, alice cordier",Media-Gauche,garder,Collectif Némésis : révélations sur le groupuscule et demande de dissolution,13,Fil factuel,,Miroir de T14 (dissolution Jeune Garde) : même pratique de demande de dissolution entre camps politiques,s.o. — fil factuel (non soumis au test)
13,22,"interpellés, garde vue, suspects, vue, interpellées, assistant, assistant parlementaire, parmi, parlementaire député, parlementaire",Media-Centre,fusionner,Déroulement de l'enquête judiciaire,10,Fil factuel,8.0,Fusionné avec T8 (même fil judiciaire) : distinction seulement chronologique et procédurale,s.o. — fil factuel (non soumis au test)
14,18,"jeune garde, garde, jeune, dissolution, juin, autodéfense, deux mille, flèches, conseil, mille vingt",Media-Centre,garder,La Jeune Garde : présentation du groupuscule et sa dissolution,14,Fil factuel,,Miroir de T12 (Némésis) : groupes rivaux distincts (pas de fusion) ; symétrie des demandes de dissolution,s.o. — fil factuel (non soumis au test)
15,25,"racisme, arabe, langue, immigration, vivre, vivre ensemble, république, communautarisme, français, culture",Media-Centre,exclure,,,,,Débat sociétal parallèle (racisme / immigration / communautarisme / affaire Bally Bagayoko) trop éloigné de la mort de QD ; comme T1,
16,20,"lion, groupuscules, locaux, ville, lyon, groupes, mille, deux mille, mille dix, deux",Media-Centre,garder,"Lyon, épicentre historique de l'affrontement extrême droite / antifascistes",15,Fil factuel,,Contient la statistique 59 morts ultra-droite / 6 ultra-gauche (Lebourg) ; mise en contexte portée par les médias mainstream,s.o. — fil factuel (non soumis au test)
17,15,"marseille, benoît, retirer, irresponsabilité, second, marseillais, second tour, participer, cet esprit, delogu",Media-Droite,exclure,,,,,Épisode électoral (municipales Marseille / retrait Delogu / front antifasciste) sans lien avec la mort de QD ; comme T1,
18,14,"devrait mourir, personne devrait, observer, silence, devrait, chers collègues, observer 1minute, mes chers, demande observer, collègues hommage",Media-Centre,garder,Minute de silence à l'Assemblée nationale et refus unanime de la violence,16,Fil factuel,,Versant consensuel de la séance du 17/02 (distinct de T11 versant conflictuel),s.o. — fil factuel (non soumis au test)
19,14,"femmes, droits femmes, journée internationale, journée, droits, internationale, internationale droits, féministes, coach, féministe",Media-Gauche,exclure,,,,,Débat parallèle (8 mars / féminisme) rattaché à l'affaire seulement via Némésis ; faux positif « Quentin Rivoire » (coach) ; comme T15,
20,20,"médias, bolloré, journalistes, news, tribune dimanche, tribune, journalisme, vingt sept, mélenchon, luc mélenchon",Media-Gauche,garder,La bataille du récit médiatique : emprise des médias Bolloré et critiques de LFI à l'égard des médias,6,Cadre interprétatif,,Cadre méta-médiatique pertinent pour la problématique (cadrage médiatique),"Problème (récit médiatique biaisé), cause (emprise Bolloré), jugement (parti pris), remède implicite. PASSE (méta-médiatique)"
21,15,"france insoumise, insoumise, marianne, france, extrême droite, extrême, républicain, bascule fasciste, insoumise dis, droite",LFI,garder,« Bascule fasciste » et « danger de l'extrême droite » : contre-cadrage de LFI,8,Cadre interprétatif,,"Apparenté à T3 et T11 ; fusion écartée, conservé distinct (granularité)","4 fonctions : problème (danger extrême droite), cause (banalisation), jugement (« bascule fasciste »), remède (front républicain). PASSE (plein)"
22,9,"gendarmes, siège, évacué, matin, ont commencé, bombe, affiches, policiers, salariés, alerte",Media-Régional,exclure,,,,,Mélange : violence liée aux municipales (exclue comme T1/T17) + faux positifs (Saint-Quentin-Fallavier) ; partie QD déjà captée en T5/T8,
23,10,"mediapart, raciste antisémite, soutiens, nostalgie, antisémite, tweets, soutiens adolf, pensée, construite autour, fascisme",Media-Gauche,garder,Révélations Mediapart sur le passé néonazi de Quentin Deranque et déconstruction de la figure du martyr,7,Cadre interprétatif,,"Pivot du corpus : contre-cadrage anti-martyr (« une victime mais jamais un héros », Faure ; question des « remords » de Cathala) transversal à toutes les orientations (Gauche/Centre/Régional) ; cas de reprise inversée par rapport à l'extrême droite ; docs 9-10 périphériques (enquêtes néonazies sans lien direct QD)","Problème (redéfinition de l'acteur : faux martyr), jugement moral fort (« victime jamais héros »), remède implicite (remords). PASSE (recadrage acteur)"
24,8,"paris, sophia, meeting, sophia chikirou, chikirou, agenda, dis clairement, grégoire, emmanuel grégoire, droite gagner",LFI,exclure,,,,,"Épisode électoral (municipales 2026 : campagne Chikirou à Paris, meetings LFI, front antifasciste second tour) sans lien direct avec la mort de QD ; comme T1/T17/T22 ; lien seulement lexical (« antifasciste »)",
